id,observed_on_string,observed_on,time_observed_at,time_zone,quality_grade,license,num_identification_agreements,captive_cultivated,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
46283466,Sun May 17 2020 12:45:10 GMT-0700 (PDT),2020-05-17,2020-05-17 19:45:10 UTC,Pacific Time (US & Canada),needs_id,CC-BY-NC,1,false,"Madrone Ave, San Francisco, CA, US",37.7427967512,-122.467513298,16,,,,16,,,false,,,Woodchip Morel,Morchella rufobrunnea,Woodchip Morel,Fungi,206090
46284579,Sun May 17 2020 12:29:51 GMT-0700 (PDT),2020-05-17,2020-05-17 19:29:51 UTC,Pacific Time (US & Canada),needs_id,,0,false,"Reservoir Rd E, Puyallup, WA, US",47.1284213183,-122.2543650363,5,,,,5,,,false,,,,Morchella,true morels,Fungi,56830
46285572,Sun May 17 2020 14:23:11 GMT-0400 (EDT),2020-05-17,2020-05-17 18:23:11 UTC,Eastern Time (US & Canada),needs_id,CC-BY-NC,1,false,"Lanark, CA-ON, CA",45.0701164915,-76.3504355296,24,,,,27222,obscured,,true,,,Distantes,Distantes,Elata Clade,Fungi,1062676
46287343,2020-05-17T16:11:24-04:00,2020-05-17,2020-05-17 20:11:24 UTC,UTC,needs_id,CC-BY-NC,2,false,Hermitage,41.2185861537,-80.4525978966,82,,,,82,,,false,,,true morels,Morchella,true morels,Fungi,56830
46291152,Sun May 17 2020 13:48:11 GMT-0400 (EDT),2020-05-17,2020-05-17 17:48:11 UTC,Eastern Time (US & Canada),research,CC-BY-NC,2,false,"Vermont, US",44.3514544209,-72.6262260886,24,,,,27348,obscured,,true,,,black morel,Morchella angusticeps,black morel,Fungi,133686
46291343,2020/05/16 9:00 AM EDT,2020-05-16,2020-05-16 13:00:00 UTC,Eastern Time (US & Canada),research,CC-BY-NC,2,false,"Vermont, US",44.7537594903,-73.0195854422,31,,,,27285,obscured,,true,,,white morel,Morchella americana,white morel,Fungi,462132
46292093,Sun May 17 2020 14:45:31 GMT-0400 (EDT),2020-05-17,2020-05-17 18:45:31 UTC,Eastern Time (US & Canada),needs_id,,5,false,"Ontario, CA",43.9180870979,-79.2792439356,22,,,,27411,obscured,,true,,,Esculenta Clade,Morchella,Esculenta Clade,Fungi,1062674
46292862,2020-05-17 12:20:35 PM AKDT,2020-05-17,2020-05-17 20:20:35 UTC,Alaska,research,CC-BY,1,false,"Soldotna, AK 99669, USA",60.4632655833,-151.0784531667,,,,,,,,false,gps,gps,Mel-31,Morchella pulchella,Mel-31,Fungi,1062960
46293272,2020-05-17 12:27:36 PM AKDT,2020-05-17,2020-05-17 20:27:36 UTC,Alaska,research,CC-BY,1,false,"Soldotna, AK 99669, USA",60.4633523889,-151.0786019722,,,,,,,,false,gps,gps,Mel-31,Morchella pulchella,Mel-31,Fungi,1062960
46304925,Sun May 17 2020 18:20:15 GMT-0400 (EDT),2020-05-17,2020-05-17 22:20:15 UTC,Eastern Time (US & Canada),research,CC-BY-NC,2,false,"PA-18, Aliquippa, PA, US",40.6149474711,-80.3993423167,655,,,,655,,,false,,,white morel,Morchella americana,white morel,Fungi,462132
46309373,Sun May 17 2020 12:08:29 GMT-0700 (PDT),2020-05-17,2020-05-17 19:08:29 UTC,Pacific Time (US & Canada),needs_id,CC-BY-NC,1,false,"Idaho Panhandle National Forest, Coeur D Alene, ID, US",47.699025,-116.619325,7183,,,,7183,,,false,,,true morels,Morchella,true morels,Fungi,56830
46311976,Sun May 17 2020 16:43:48 GMT-0400 (EDT),2020-05-17,2020-05-17 20:43:48 UTC,Eastern Time (US & Canada),needs_id,,0,false,"Promontory Woods, Mississauga, ON, CA",43.5561300011,-79.6718742339,231,,,,231,,,false,,,,Morchella,true morels,Fungi,56830
