datetime,source_db,scientific_name,geometry,country,prov_state,level_01,level_02,eco_region,lulc
2019-02-17T20:50:44Z,inat,Morchella rufobrunnea,"c(3581114.88784542, 285379.720777402)",USA,California,Ventura,NA,"California Coastal Sage, Chaparral, and Oak Woodlands",1
2019-02-15T23:53:21Z,inat,Morchella rufobrunnea,"c(3474797.31757133, 482200.476792618)",USA,California,San Luis Obispo,NA,"California Coastal Sage, Chaparral, and Oak Woodlands",15
2019-02-15T01:22:37Z,inat,Morchella rufobrunnea,"c(3515752.05343062, 349363.05068061)",USA,California,Santa Barbara,NA,Southern and Baja California Pine-Oak Mountains,17
2013-05-14T14:20:00Z,inat,Morchella americana,"c(4288426.99842536, 1944422.45619558)",CAN,British Columbia / Colombie-Britannique,Central Okanagan,Kelowna,Thompson-Okanogan Plateau,6
2016-04-07T20:49:00Z,inat,Morchella punctipes,"c(5876471.29730938, 390655.346379432)",USA,Kansas,Brown,NA,Western Corn Belt Plains,17
2019-02-14T18:17:06Z,inat,Morchella rufobrunnea,"c(3595679.90214118, 857451.208450255)",USA,California,Sacramento,NA,Central California Valley,6
2010-11-09T00:10:00Z,inat,Morchella rufobrunnea,"c(3492958.68960996, 887835.448953697)",USA,California,Napa,NA,"California Coastal Sage, Chaparral, and Oak Woodlands",17
2019-02-12T21:28:59Z,inat,Morchella rufobrunnea,"c(3476312.19500307, 792635.6282756)",USA,California,Alameda,NA,"California Coastal Sage, Chaparral, and Oak Woodlands",7
2018-05-05T20:37:00Z,inat,Morchella punctipes,"c(7184063.43962468, 579635.269099729)",USA,Ohio,Columbiana,NA,Western Allegheny Plateau,17
2019-02-07T23:29:46Z,inat,Morchella rufobrunnea,"c(3670854.82311404, 90099.7057531066)",USA,California,San Diego,NA,"California Coastal Sage, Chaparral, and Oak Woodlands",17
2019-02-04T23:43:10Z,inat,Morchella rufobrunnea,"c(3466643.25453485, 483548.741418854)",USA,California,San Luis Obispo,NA,"California Coastal Sage, Chaparral, and Oak Woodlands",8
2019-02-06T23:08:12Z,inat,Morchella rufobrunnea,"c(3466004.88728542, 902460.254933437)",USA,California,Sonoma,NA,"California Coastal Sage, Chaparral, and Oak Woodlands",17
2019-02-06T01:07:22Z,inat,Morchella rufobrunnea,"c(3548446.88349467, 322329.299821061)",USA,California,Ventura,NA,"California Coastal Sage, Chaparral, and Oak Woodlands",18
2018-05-16T04:46:26Z,inat,Morchella americana,"c(7783678.43322641, 997460.471858192)",USA,Vermont,Windham,NA,Northern Appalachian and Atlantic Maritime Highlands,1
2019-01-30T00:30:19Z,inat,Morchella rufobrunnea,"c(3531238.12286901, 337754.441671205)",USA,California,Santa Barbara,NA,"California Coastal Sage, Chaparral, and Oak Woodlands",5
2018-05-08T00:58:00Z,inat,Morchella americana,"c(6508861.80070294, 619171.9701765)",USA,Illinois,Kane,NA,Central Corn Belt Plains,5
2019-01-19T12:00:52Z,inat,Morchella rufobrunnea,"c(5238739.50635631, -2129419.82315423)",MEX,NA,NA,NA,"Hills and Sierras with Conifer, Oak, and Mixed Forests",17
