latitude,longitude,datetime,source_db,scientific_name
40.0653,-95.5996,2017-04-11T08:20:37Z,tgm,NA
37.3696,-84.3431,2017-04-11T08:52:56Z,tgm,NA
39.7934,-85.7724,2017-04-11T09:40:47Z,tgm,NA
39.6749,-89.8476,2017-04-11T09:45:17Z,tgm,NA
37.412,-87.4685,2017-04-11T09:53:51Z,tgm,NA
37.38489,-122.216721,2017-04-11T09:58:02Z,tgm,NA
39.4172,-92.4365,2017-04-11T10:02:08Z,tgm,NA
38.6544,-94.5081,2017-04-11T10:10:42Z,tgm,NA
38.7966,-94.2634,2017-04-11T10:12:22Z,tgm,NA
39.0013,-94.2607,2017-04-11T10:13:30Z,tgm,NA
39.4278,-83.0096,2017-04-11T10:18:07Z,tgm,NA
47.5709,-122.387,2017-04-11T10:18:59Z,tgm,NA
39.1508,-77.9823,2017-04-11T10:22:32Z,tgm,NA
38.539573,-90.441513,2017-04-11T10:33:15Z,tgm,NA
39.5376,-77.4155,2017-04-11T12:52:03Z,tgm,NA
39.2653,-86.2931,2017-04-11T13:14:19Z,tgm,NA
39.3266,-82.0995,2017-04-11T13:21:42Z,tgm,NA
38.584136,-90.42572,2017-04-11T13:22:52Z,tgm,NA
38.0293,-78.4767,2017-04-11T13:29:15Z,tgm,NA
39.2678,-81.055,2017-04-11T13:30:17Z,tgm,NA
39.6039,-86.3676,2017-04-11T15:23:46Z,tgm,NA
46.686294,-107.504883,2017-04-11T15:41:10Z,tgm,NA
42.48577,-90.694199,2017-04-11T15:49:16Z,tgm,NA
38.8316,-90.0465,2017-04-11T15:53:37Z,tgm,NA
35.4588,-85.6692,2017-04-11T16:24:40Z,tgm,NA
36.4279,-79.3148,2017-04-11T16:24:40Z,tgm,NA
38.0847,-89.3732,2017-04-11T17:39:41Z,tgm,NA
41.5117,-93.4945,2017-04-11T18:11:50Z,tgm,NA
38.9719,-95.2359,2017-04-11T18:13:47Z,tgm,NA
38.3716,-93.7678,2017-04-11T18:17:08Z,tgm,NA
41.0509,-80.592,2017-04-11T18:18:50Z,tgm,NA
35.7583,-83.9478,2017-04-11T20:21:24Z,tgm,NA
39.333117,-84.787903,2017-04-11T20:36:54Z,tgm,NA
36.0963,-84.13,2017-04-11T20:38:37Z,tgm,NA
34.9884,-96.9254,2017-04-12T15:30:11Z,tgm,NA
37.4417,-92.8424,2017-04-12T15:37:42Z,tgm,NA
36.0638,-92.8618,2017-04-12T15:40:37Z,tgm,NA
38.9218,-89.9438,2017-04-12T15:43:23Z,tgm,NA
39.4559,-82.2218,2017-04-12T15:46:24Z,tgm,NA
39.4579,-93.5239,2017-04-12T15:49:29Z,tgm,NA
38.388495,-93.731232,2017-04-12T15:53:27Z,tgm,NA
36.0804,-83.9424,2017-04-12T16:04:47Z,tgm,NA
36.1526,-80.3623,2017-04-12T16:07:41Z,tgm,NA
